Date,Open,High,Low,Close,Volume,Adj_Close
2020-01-02,1347.43,1354.68,1337.57,1351.42,1458300,1351.42
2020-01-03,1345.00,1349.18,1330.41,1334.18,1200000,1334.18
2020-01-06,1334.69,1344.17,1319.94,1324.20,1890400,1324.20
2020-01-07,1324.96,1330.83,1315.30,1325.31,1305500,1325.31
2020-01-08,1322.31,1324.73,1310.20,1320.54,1240000,1320.54
2020-02-24,1348.00,1350.00,1316.23,1316.23,2890400,1316.23
2020-02-25,1295.89,1327.89,1285.74,1292.28,3250000,1292.28
2020-02-26,1295.00,1295.57,1260.00,1279.49,2456700,1279.49
2020-02-27,1256.32,1269.98,1237.84,1246.67,2789600,1246.67
2020-02-28,1214.89,1256.93,1205.55,1339.39,3654000,1339.39
2020-03-02,1339.39,1359.26,1320.00,1352.01,2234000,1352.01
2020-03-09,1297.52,1308.00,1274.53,1296.47,2890400,1296.47
2020-03-16,1216.00,1260.00,1195.00,1196.20,4234000,1196.20
2020-03-23,1094.00,1172.50,1073.83,1137.46,4567000,1137.46
2020-03-30,1134.89,1162.86,1130.00,1161.49,2456700,1161.49
2020-04-01,1130.00,1141.50,1101.00,1120.84,2789600,1120.84
2020-04-06,1135.00,1164.00,1130.00,1186.92,1890400,1186.92
2020-04-13,1242.89,1266.67,1242.89,1273.89,1654000,1273.89
2020-04-20,1275.00,1280.00,1256.00,1264.58,1456700,1264.58
2020-04-27,1274.89,1290.00,1266.00,1286.37,1234000,1286.37
2020-04-30,1320.00,1348.89,1314.00,1348.66,2234000,1348.66
2020-05-01,1334.89,1349.89,1315.00,1320.61,1890400,1320.61
2020-05-08,1336.89,1351.23,1330.00,1388.37,1654000,1388.37
2020-05-15,1395.00,1412.89,1380.00,1373.19,1456700,1373.19
2020-05-22,1406.89,1424.89,1398.00,1406.99,1234000,1406.99
2020-05-29,1413.89,1432.89,1406.00,1428.92,1890400,1428.92
2020-06-05,1440.89,1455.89,1435.00,1446.61,1654000,1446.61
2020-06-12,1436.89,1449.89,1415.00,1413.18,1890400,1413.18
2020-06-19,1434.89,1449.89,1420.00,1451.09,1456700,1451.09
2020-06-26,1358.89,1378.89,1340.00,1359.33,2234000,1359.33
2020-06-30,1374.89,1393.89,1360.00,1431.82,1890400,1431.82
2020-07-09,1516.89,1540.89,1510.00,1538.92,1654000,1538.92
2020-07-16,1556.89,1582.89,1540.00,1550.28,1456700,1550.28
2020-07-23,1500.89,1520.89,1485.00,1515.89,1890400,1515.89
2020-07-30,1434.89,1520.89,1415.00,1515.89,2234000,1515.89
2020-08-06,1540.89,1582.89,1535.00,1575.24,1654000,1575.24
2020-08-13,1590.89,1610.89,1580.00,1594.51,1456700,1594.51
2020-08-20,1605.89,1625.89,1595.00,1616.05,1234000,1616.05
2020-08-27,1630.89,1650.89,1620.00,1648.44,1890400,1648.44
2020-08-31,1634.89,1654.89,1625.00,1630.84,1654000,1630.84
2020-09-03,1560.89,1580.89,1545.00,1508.98,1890400,1508.98
2020-09-10,1520.89,1535.89,1500.00,1516.73,1654000,1516.73
2020-09-17,1505.89,1520.89,1490.00,1508.32,1456700,1508.32
2020-09-24,1465.89,1485.89,1450.00,1469.65,1890400,1469.65
2020-09-30,1477.89,1497.89,1462.00,1496.02,1654000,1496.02
2020-10-08,1504.89,1524.89,1490.00,1516.73,1456700,1516.73
2020-10-15,1540.89,1560.89,1525.00,1551.90,1234000,1551.90
2020-10-22,1535.89,1555.89,1520.00,1543.18,1890400,1543.18
2020-10-29,1510.89,1530.89,1495.00,1621.00,1654000,1621.00
2020-11-05,1650.89,1670.89,1640.00,1650.61,1456700,1650.61
2020-11-12,1680.89,1700.89,1670.00,1692.06,1234000,1692.06
2020-11-19,1725.89,1745.89,1710.00,1739.39,1890400,1739.39
2020-11-26,1755.89,1775.89,1745.00,1762.66,1654000,1762.66
2020-12-03,1790.89,1810.89,1780.00,1797.33,1456700,1797.33
2020-12-10,1815.89,1835.89,1805.00,1826.77,1234000,1826.77
2020-12-17,1840.89,1860.89,1830.00,1853.67,1890400,1853.67
2020-12-24,1855.89,1875.89,1845.00,1868.26,1654000,1868.26
2020-12-31,1745.89,1760.00,1728.24,1751.88,1456700,1751.88
2021-01-07,1764.89,1785.89,1750.00,1781.03,1234000,1781.03
2021-01-14,1795.89,1815.89,1780.00,1807.66,1890400,1807.66
2021-01-21,2320.89,2350.89,2300.00,2326.68,2654000,2326.68
2021-01-28,2240.89,2270.89,2220.00,2022.63,2456700,2022.63
2021-02-04,2055.89,2085.89,2040.00,2073.80,1890400,2073.80
2021-02-11,2110.89,2130.89,2095.00,2119.85,1654000,2119.85
2021-02-18,2050.89,2070.89,2035.00,2055.86,1890400,2055.86
2021-02-25,2020.89,2040.89,2005.00,2026.96,1654000,2026.96
2021-03-04,2000.89,2020.89,1985.00,2002.37,1890400,2002.37
2021-03-11,2020.89,2040.89,2005.00,2021.68,1654000,2021.68
2021-03-18,2005.89,2025.89,1990.00,2012.82,1890400,2012.82
2021-03-25,2030.89,2050.89,2015.00,2042.49,1654000,2042.49
2021-04-01,2055.89,2075.89,2040.00,2062.52,1890400,2062.52
2021-04-08,2095.89,2115.89,2080.00,2106.62,1654000,2106.62
2021-04-15,2340.89,2360.89,2320.00,2342.19,2234000,2342.19
2021-04-22,2320.89,2340.89,2305.00,2322.25,1890400,2322.25
2021-04-29,2340.89,2360.89,2325.00,2351.38,1654000,2351.38
2021-05-06,2340.89,2360.89,2325.00,2350.06,1890400,2350.06
2021-05-13,2280.89,2300.89,2265.00,2288.33,1654000,2288.33
2021-05-20,2320.89,2340.89,2305.00,2335.35,1890400,2335.35
2021-05-27,2350.89,2370.89,2335.00,2357.18,1654000,2357.18
2021-06-03,2420.89,2440.89,2405.00,2429.68,1890400,2429.68
2021-06-10,2440.89,2460.89,2425.00,2447.76,1654000,2447.76
2021-06-17,2460.89,2480.89,2445.00,2471.04,1890400,2471.04
2021-06-24,2460.89,2480.89,2445.00,2469.63,1654000,2469.63
2021-07-01,2490.89,2510.89,2475.00,2497.87,1890400,2497.87
2021-07-08,2520.89,2540.89,2505.00,2528.76,1654000,2528.76
2021-07-15,2570.89,2590.89,2555.00,2577.66,1890400,2577.66
2021-07-22,2560.89,2580.89,2545.00,2571.29,1654000,2571.29
2021-07-29,2640.89,2670.89,2625.00,2663.50,1890400,2663.50
2021-08-05,2720.89,2740.89,2705.00,2731.51,1654000,2731.51
2021-08-12,2770.89,2790.89,2755.00,2783.34,1890400,2783.34
2021-08-19,2750.89,2770.89,2735.00,2758.49,1654000,2758.49
2021-08-26,2780.89,2800.89,2765.00,2791.79,1890400,2791.79
2021-09-02,2810.89,2830.89,2795.00,2819.66,1654000,2819.66
2021-09-09,2750.89,2770.89,2735.00,2758.38,1890400,2758.38
2021-09-16,2730.89,2750.89,2715.00,2738.37,1654000,2738.37
2021-09-23,2740.89,2760.89,2725.00,2748.55,1890400,2748.55
2021-09-30,2680.89,2700.89,2665.00,2687.65,1654000,2687.65
2021-10-07,2745.89,2765.89,2730.00,2754.85,1890400,2754.85
2021-10-14,2770.89,2790.89,2755.00,2779.66,1654000,2779.66
2021-10-21,2840.89,2860.89,2825.00,2847.68,1890400,2847.68
2021-10-28,2980.89,3000.89,2965.00,2986.22,2234000,2986.22
2021-11-04,2985.89,3005.89,2970.00,2992.06,1890400,2992.06
2021-11-11,2960.89,2980.89,2945.00,2969.85,1654000,2969.85
2021-11-18,2935.89,2955.89,2920.00,2943.83,1890400,2943.83
2021-11-25,2895.89,2915.89,2880.00,2904.80,1654000,2904.80
2021-12-02,2850.89,2870.89,2835.00,2859.73,1890400,2859.73
2021-12-09,2890.89,2910.89,2875.00,2896.75,1654000,2896.75
2021-12-16,2845.89,2865.89,2830.00,2852.55,1890400,2852.55
2021-12-23,2855.89,2875.89,2840.00,2862.24,1654000,2862.24
2021-12-30,2895.89,2915.89,2880.00,2897.04,1890400,2897.04
2022-01-06,2735.89,2755.89,2720.00,2742.45,1890400,2742.45
2022-01-13,2675.89,2695.89,2660.00,2682.66,1654000,2682.66
2022-01-20,2565.89,2585.89,2550.00,2572.23,1890400,2572.23
2022-01-27,2345.89,2365.89,2330.00,2351.78,2234000,2351.78
2022-02-03,2680.89,2700.89,2665.00,2687.33,1890400,2687.33
2022-02-10,2535.89,2555.89,2520.00,2542.11,1654000,2542.11
2022-02-17,2615.89,2635.89,2600.00,2622.55,1890400,2622.55
2022-02-24,2355.89,2375.89,2340.00,2361.44,2234000,2361.44
2022-03-03,2615.89,2635.89,2600.00,2622.77,1890400,2622.77
2022-03-10,2345.89,2365.89,2330.00,2351.66,2234000,2351.66
2022-03-17,2535.89,2555.89,2520.00,2542.33,1654000,2542.33
2022-03-24,2615.89,2635.89,2600.00,2622.88,1890400,2622.88
2022-03-31,2780.89,2800.89,2765.00,2791.44,1654000,2791.44
2022-04-07,2525.89,2545.89,2510.00,2532.77,1890400,2532.77
2022-04-14,2385.89,2405.89,2370.00,2392.11,2234000,2392.11
2022-04-21,2410.89,2430.89,2395.00,2417.42,1890400,2417.42
2022-04-28,2275.89,2295.89,2260.00,2283.22,2234000,2283.22
2022-05-05,2300.89,2320.89,2285.00,2307.55,2234000,2307.55
2022-05-12,2195.89,2215.89,2180.00,2202.33,2890400,2202.33
2022-05-19,2145.89,2165.89,2130.00,2157.22,2890400,2157.22
2022-05-26,2255.89,2275.89,2240.00,2262.44,2234000,2262.44
2022-06-02,2340.89,2360.89,2325.00,2347.55,1890400,2347.55
2022-06-09,2245.89,2265.89,2230.00,2252.11,2234000,2252.11
2022-06-16,2135.89,2155.89,2120.00,2142.66,2890400,2142.66
2022-06-23,2190.89,2210.89,2175.00,2197.33,2234000,2197.33
2022-06-30,2295.89,2315.89,2280.00,2302.55,1890400,2302.55
2022-07-07,2335.89,2355.89,2320.00,2342.11,1890400,2342.11
2022-07-14,2245.89,2265.89,2230.00,2252.33,2234000,2252.33
2022-07-21,2185.89,2205.89,2170.00,2192.66,2234000,2192.66
2022-07-28,2255.89,2275.89,2240.00,2262.77,2234000,2262.77
2022-08-04,2340.89,2360.89,2325.00,2347.88,1890400,2347.88
2022-08-11,2370.89,2390.89,2355.00,2377.11,1890400,2377.11
2022-08-18,2290.89,2310.89,2275.00,2297.44,2234000,2297.44
2022-08-25,2265.89,2285.89,2250.00,2272.33,2234000,2272.33
2022-09-01,2155.89,2175.89,2140.00,2162.66,2890400,2162.66
2022-09-08,2205.89,2225.89,2190.00,2212.55,2234000,2212.55
2022-09-15,2135.89,2155.89,2120.00,2142.88,2890400,2142.88
2022-09-22,2095.89,2115.89,2080.00,2102.11,2890400,2102.11
2022-09-29,1925.89,1945.89,1910.00,1932.33,4234000,1932.33
2022-10-06,2035.89,2055.89,2020.00,2042.55,2890400,2042.55
2022-10-13,1875.89,1895.89,1860.00,1882.44,4234000,1882.44
2022-10-20,2055.89,2075.89,2040.00,2062.11,2890400,2062.11
2022-10-27,2155.89,2175.89,2140.00,2162.88,2234000,2162.88
2022-11-03,1825.89,1845.89,1810.00,1832.77,4234000,1832.77
2022-11-10,2035.89,2055.89,2020.00,2042.33,2890400,2042.33
2022-11-17,2095.89,2115.89,2080.00,2102.44,2234000,2102.44
2022-11-24,2075.89,2095.89,2060.00,2082.11,2234000,2082.11
2022-12-01,2120.89,2140.89,2105.00,2127.77,2234000,2127.77
2022-12-08,2035.89,2055.89,2020.00,2042.66,2890400,2042.66
2022-12-15,2215.89,2235.89,2200.00,2222.33,2234000,2222.33
2022-12-22,1855.89,1875.89,1840.00,1862.55,3654000,1862.55
2022-12-29,1765.89,1785.89,1750.00,1772.11,2890400,1772.11
2023-01-05,1745.89,1765.89,1730.00,1752.44,2890400,1752.44
2023-01-12,1875.89,1895.89,1860.00,1882.77,2890400,1882.77
2023-01-19,2145.89,2165.89,2130.00,2157.55,2234000,2157.55
2023-01-26,2055.89,2075.89,2040.00,2062.88,2234000,2062.88
2023-02-02,2195.89,2215.89,2180.00,2202.11,2234000,2202.11
2023-02-09,2235.89,2255.89,2220.00,2242.33,1890400,2242.33
2023-02-16,2265.89,2285.89,2250.00,2272.55,1890400,2272.55
2023-02-23,2195.89,2215.89,2180.00,2202.66,2234000,2202.66
2023-03-02,2095.89,2115.89,2080.00,2102.44,2890400,2102.44
2023-03-09,2375.89,2395.89,2360.00,2387.11,1890400,2387.11
2023-03-16,2355.89,2375.89,2340.00,2362.77,1890400,2362.77
2023-03-23,2345.89,2365.89,2330.00,2352.55,1890400,2352.55
2023-03-30,2435.89,2455.89,2420.00,2442.33,1890400,2442.33
2023-04-06,2365.89,2385.89,2350.00,2372.11,1890400,2372.11
2023-04-13,2385.89,2405.89,2370.00,2392.66,1890400,2392.66
2023-04-20,2345.89,2365.89,2330.00,2352.88,1890400,2352.88
2023-04-27,2445.89,2465.89,2430.00,2452.11,1890400,2452.11
2023-05-04,2535.89,2555.89,2520.00,2542.33,1654000,2542.33
2023-05-11,2635.89,2655.89,2620.00,2642.55,1654000,2642.55
2023-05-18,2565.89,2585.89,2550.00,2572.11,1890400,2572.11
2023-05-25,2745.89,2765.89,2730.00,2754.77,1654000,2754.77
2023-06-01,2765.89,2785.89,2750.00,2774.33,1654000,2774.33
2023-06-08,2855.89,2875.89,2840.00,2862.55,1456700,2862.55
