Date,Open,High,Low,Close,Volume,Adj_Close
2020-01-02,160.62,161.15,158.05,160.73,22622100,160.73
2020-01-03,158.74,159.95,157.70,158.62,21116200,158.62
2020-01-06,157.08,159.10,156.51,157.71,20813700,157.71
2020-01-07,157.32,157.75,155.03,157.49,21634300,157.49
2020-01-08,158.93,160.45,157.58,160.09,20571200,160.09
2020-02-24,165.04,167.37,156.65,156.83,54835600,156.83
2020-02-25,154.90,158.57,150.24,157.04,62606500,157.04
2020-02-26,156.31,156.69,147.33,156.06,57625300,156.06
2020-02-27,150.92,154.17,149.52,144.16,64059300,144.16
2020-02-28,141.13,147.26,134.61,162.77,94975300,162.77
2020-03-02,161.84,166.00,149.70,165.11,54835600,165.11
2020-03-09,158.83,162.30,150.75,158.83,64059300,158.83
2020-03-16,138.05,155.79,135.10,135.42,77886600,135.42
2020-03-23,134.69,148.84,130.54,146.83,75730200,146.83
2020-03-30,148.84,155.25,147.08,154.86,54835600,154.86
2020-04-01,150.49,155.92,148.17,152.11,46778300,152.11
2020-04-06,156.18,174.55,155.49,173.70,54835600,173.70
2020-04-13,174.32,177.38,171.76,175.95,37130100,175.95
2020-04-20,175.32,178.60,173.32,178.60,36272600,178.60
2020-04-27,177.32,182.60,176.32,179.21,46778300,179.21
2020-04-30,179.55,187.32,178.60,181.59,54835600,181.59
2020-05-01,180.32,185.60,178.32,180.91,37130100,180.91
2020-05-08,185.32,189.60,184.32,184.91,36272600,184.91
2020-05-15,188.32,192.60,186.32,183.51,46778300,183.51
2020-05-22,186.32,190.60,184.32,183.25,36272600,183.25
2020-05-29,185.32,189.60,183.32,184.91,37130100,184.91
2020-06-05,188.32,192.60,186.32,189.45,36272600,189.45
2020-06-12,184.32,188.60,182.32,183.51,37130100,183.51
2020-06-19,186.32,190.60,184.32,185.93,36272600,185.93
2020-06-26,177.32,181.60,175.32,177.77,54835600,177.77
2020-06-30,179.32,183.60,177.32,181.59,37130100,181.59
2020-07-09,201.32,205.60,199.32,203.51,36272600,203.51
2020-07-16,206.32,210.60,204.32,207.74,36272600,207.74
2020-07-23,201.32,205.60,199.32,202.75,37130100,202.75
2020-07-30,200.32,216.60,198.32,202.47,54835600,202.47
2020-08-06,213.32,217.60,211.32,215.25,36272600,215.25
2020-08-13,216.32,220.60,214.32,218.59,36272600,218.59
2020-08-20,219.32,223.60,217.32,221.91,37130100,221.91
2020-08-27,222.32,226.60,220.32,224.96,37130100,224.96
2020-08-31,223.32,227.60,221.32,225.69,36272600,225.69
2020-09-03,227.32,229.60,224.32,202.75,54835600,202.75
2020-09-10,205.32,209.60,203.32,207.06,36272600,207.06
2020-09-17,208.32,212.60,206.32,210.33,36272600,210.33
2020-09-24,204.32,208.60,202.32,205.95,37130100,205.95
2020-09-30,207.32,211.60,205.32,209.91,36272600,209.91
2020-10-08,211.32,215.60,209.32,213.25,36272600,213.25
2020-10-15,215.32,219.60,213.32,217.59,36272600,217.59
2020-10-22,213.32,217.60,211.32,215.25,37130100,215.25
2020-10-29,211.32,215.60,209.32,202.33,46778300,202.33
2020-11-05,206.32,210.60,204.32,208.59,36272600,208.59
2020-11-12,212.32,216.60,210.32,214.91,36272600,214.91
2020-11-19,218.32,222.60,216.32,220.25,36272600,220.25
2020-11-26,221.32,225.60,219.32,223.59,37130100,223.59
2020-12-03,227.32,231.60,225.32,229.91,36272600,229.91
2020-12-10,233.32,237.60,231.32,235.25,36272600,235.25
2020-12-17,238.32,242.60,236.32,240.59,36272600,240.59
2020-12-24,241.32,245.60,239.32,243.91,37130100,243.91
2020-12-31,221.68,222.42,214.07,221.68,25108200,221.68
2021-01-07,218.90,219.69,214.07,218.29,35930300,218.29
2021-01-14,232.90,233.00,226.35,232.33,37130100,232.33
2021-01-21,236.23,237.49,233.47,236.94,46778300,236.94
2021-01-28,238.07,240.00,230.00,238.93,62606500,238.93
2021-02-04,245.32,249.60,243.32,247.25,46778300,247.25
2021-02-11,252.32,256.60,250.32,254.59,36272600,254.59
2021-02-18,248.32,252.60,246.32,250.25,46778300,250.25
2021-02-25,244.32,248.60,242.32,246.59,46778300,246.59
2021-03-04,242.32,246.60,240.32,244.91,46778300,244.91
2021-03-11,247.32,251.60,245.32,249.25,36272600,249.25
2021-03-18,243.32,247.60,241.32,245.59,46778300,245.59
2021-03-25,248.32,252.60,246.32,250.91,36272600,250.91
2021-04-01,253.32,257.60,251.32,255.25,36272600,255.25
2021-04-08,258.32,262.60,256.32,260.59,36272600,260.59
2021-04-15,264.32,268.60,262.32,266.91,46778300,266.91
2021-04-22,262.32,266.60,260.32,264.25,36272600,264.25
2021-04-29,267.32,271.60,265.32,269.59,36272600,269.59
2021-05-06,263.32,267.60,261.32,265.91,36272600,265.91
2021-05-13,259.32,263.60,257.32,261.25,36272600,261.25
2021-05-20,265.32,269.60,263.32,267.59,36272600,267.59
2021-05-27,270.32,274.60,268.32,272.91,36272600,272.91
2021-06-03,277.32,281.60,275.32,279.25,36272600,279.25
2021-06-10,282.32,286.60,280.32,284.59,36272600,284.59
2021-06-17,288.32,292.60,286.32,290.91,36272600,290.91
2021-06-24,287.32,291.60,285.32,289.25,36272600,289.25
2021-07-01,293.32,297.60,291.32,295.59,36272600,295.59
2021-07-08,299.32,303.60,297.32,301.91,36272600,301.91
2021-07-15,305.32,309.60,303.32,307.25,36272600,307.25
2021-07-22,303.32,307.60,301.32,305.59,36272600,305.59
2021-07-29,309.32,313.60,307.32,311.91,36272600,311.91
2021-08-05,315.32,319.60,313.32,317.25,36272600,317.25
2021-08-12,321.32,325.60,319.32,323.59,36272600,323.59
2021-08-19,319.32,323.60,317.32,321.91,36272600,321.91
2021-08-26,325.32,329.60,323.32,327.25,36272600,327.25
2021-09-02,331.32,335.60,329.32,333.59,36272600,333.59
2021-09-09,327.32,331.60,325.32,329.91,36272600,329.91
2021-09-16,325.32,329.60,323.32,327.25,36272600,327.25
2021-09-23,329.32,333.60,327.32,331.59,36272600,331.59
2021-09-30,323.32,327.60,321.32,325.91,36272600,325.91
2021-10-07,331.32,335.60,329.32,333.25,36272600,333.25
2021-10-14,337.32,341.60,335.32,339.59,36272600,339.59
2021-10-21,343.32,347.60,341.32,345.91,36272600,345.91
2021-10-28,351.32,355.60,349.32,353.25,46778300,353.25
2021-11-04,357.32,361.60,355.32,359.59,36272600,359.59
2021-11-11,355.32,359.60,353.32,357.91,36272600,357.91
2021-11-18,353.32,357.60,351.32,355.25,36272600,355.25
2021-11-25,351.32,355.60,349.32,353.59,36272600,353.59
2021-12-02,349.32,353.60,347.32,351.91,36272600,351.91
2021-12-09,355.32,359.60,353.32,357.25,36272600,357.25
2021-12-16,353.32,357.60,351.32,355.59,36272600,355.59
2021-12-23,357.32,361.60,355.32,359.91,36272600,359.91
2021-12-30,363.32,367.60,361.32,365.25,36272600,365.25
2022-01-06,334.32,338.60,332.32,336.59,36272600,336.59
2022-01-13,330.32,334.60,328.32,332.91,36272600,332.91
2022-01-20,316.32,320.60,314.32,318.25,46778300,318.25
2022-01-27,309.32,313.60,307.32,311.59,46778300,311.59
2022-02-03,323.32,327.60,321.32,325.91,36272600,325.91
2022-02-10,315.32,319.60,313.32,317.25,36272600,317.25
2022-02-17,323.32,327.60,321.32,325.59,36272600,325.59
2022-02-24,295.32,299.60,293.32,297.25,54835600,297.25
2022-03-03,325.32,329.60,323.32,327.59,36272600,327.59
2022-03-10,303.32,307.60,301.32,305.25,46778300,305.25
2022-03-17,319.32,323.60,317.32,321.59,36272600,321.59
2022-03-24,329.32,333.60,327.32,331.25,36272600,331.25
2022-03-31,343.32,347.60,341.32,345.59,36272600,345.59
2022-04-07,325.32,329.60,323.32,327.91,36272600,327.91
2022-04-14,309.32,313.60,307.32,311.25,46778300,311.25
2022-04-21,315.32,319.60,313.32,317.59,36272600,317.59
