Date,Open,High,Low,Close,Volume,Adj_Close
2020-01-02,324.87,325.25,323.34,324.87,37039737,324.87
2020-01-03,324.24,325.15,322.50,322.86,42087594,322.86
2020-01-06,322.36,324.20,320.57,323.87,36930051,323.87
2020-01-07,323.60,324.35,321.41,322.91,35292472,322.91
2020-01-08,322.18,324.74,321.51,324.87,36162125,324.87
2020-02-24,329.11,330.85,318.89,319.31,83712312,319.31
2020-02-25,316.17,320.33,310.01,314.50,90069120,314.50
2020-02-26,314.70,317.59,307.84,315.28,95950284,315.28
2020-02-27,310.49,314.06,303.62,304.00,107971220,304.00
2020-02-28,296.95,303.59,287.26,322.17,167497584,322.17
2020-03-02,319.48,324.95,305.94,322.17,72097584,322.17
2020-03-09,306.13,309.25,297.31,306.13,81712312,306.13
2020-03-16,262.95,294.50,234.50,247.95,141497584,247.95
2020-03-23,239.78,262.30,224.50,246.17,105497584,246.17
2020-03-30,251.50,263.95,248.78,260.95,72097584,260.95
2020-04-01,249.50,254.85,244.17,250.75,68712312,250.75
2020-04-06,259.78,279.50,255.85,276.31,72097584,276.31
2020-04-13,276.95,282.50,274.17,280.85,49497584,280.85
2020-04-20,281.50,286.95,279.31,285.41,56712312,285.41
2020-04-27,285.78,289.95,283.50,288.17,49497584,288.17
2020-04-30,290.50,297.85,288.31,293.75,72097584,293.75
2020-05-01,290.95,293.85,286.50,289.17,56712312,289.17
2020-05-08,297.50,302.85,295.31,301.17,49497584,301.17
2020-05-15,301.95,305.85,298.50,303.41,56712312,303.41
2020-05-22,304.50,307.85,302.31,306.17,49497584,306.17
2020-05-29,306.95,310.85,304.50,307.75,56712312,307.75
2020-06-05,311.50,315.85,308.31,313.17,49497584,313.17
2020-06-12,308.50,312.85,305.31,308.75,56712312,308.75
2020-06-19,312.50,316.85,309.31,314.17,49497584,314.17
2020-06-26,306.50,310.85,303.31,305.85,72097584,305.85
2020-06-30,309.50,313.85,306.31,311.17,56712312,311.17
2020-07-09,323.50,327.85,320.31,325.17,49497584,325.17
2020-07-16,328.50,332.85,325.31,330.75,49497584,330.75
2020-07-23,326.50,330.85,323.31,327.17,56712312,327.17
2020-07-30,322.50,326.85,319.31,323.85,72097584,323.85
2020-08-06,332.50,336.85,329.31,334.17,49497584,334.17
2020-08-13,336.50,340.85,333.31,338.75,49497584,338.75
2020-08-20,341.50,345.85,338.31,343.17,56712312,343.17
2020-08-27,345.50,349.85,342.31,347.75,56712312,347.75
2020-08-31,348.50,352.85,345.31,349.17,49497584,349.17
2020-09-03,352.50,354.85,349.31,336.75,72097584,336.75
2020-09-10,341.50,345.85,338.31,342.17,49497584,342.17
2020-09-17,344.50,348.85,341.31,345.75,49497584,345.75
2020-09-24,339.50,343.85,336.31,340.17,56712312,340.17
2020-09-30,343.50,347.85,340.31,345.85,49497584,345.85
2020-10-08,348.50,352.85,345.31,350.17,49497584,350.17
2020-10-15,352.50,356.85,349.31,354.75,49497584,354.75
2020-10-22,350.50,354.85,347.31,351.17,56712312,351.17
2020-10-29,345.50,349.85,342.31,325.85,72097584,325.85
2020-11-05,334.50,338.85,331.31,336.17,49497584,336.17
