Date,Open,High,Low,Close,Volume,Adj_Close
2020-01-02,84.90,86.14,84.34,86.05,47660500,28.68
2020-01-03,88.10,90.80,87.38,88.60,88090100,29.53
2020-01-06,88.09,90.31,85.02,90.31,50658500,30.10
2020-01-07,92.28,94.33,90.67,93.81,89410500,31.27
2020-01-08,94.20,99.70,93.65,98.43,155721200,32.81
2020-02-24,800.03,968.99,734.70,734.70,58954100,244.90
2020-02-25,734.44,738.20,666.89,734.09,46535900,244.70
2020-02-26,719.60,787.89,719.20,673.20,35404600,224.43
2020-02-27,685.79,704.99,595.40,617.20,63913600,205.73
2020-02-28,608.00,621.45,538.61,893.77,88194000,297.92
2020-03-02,850.92,900.40,803.66,887.06,58954100,295.69
2020-03-09,778.59,787.99,708.26,708.26,75394000,236.02
2020-03-16,635.12,723.00,428.00,428.00,197004500,142.67
2020-03-23,379.71,502.14,350.51,451.47,236281400,150.49
2020-03-30,482.00,521.85,455.00,509.01,58954100,169.67
2020-04-01,478.00,502.49,454.52,497.00,47660500,165.67
2020-04-06,488.75,780.00,454.52,663.69,58954100,221.23
2020-04-13,700.96,782.75,673.84,744.12,47660500,248.04
2020-04-20,701.98,789.36,676.50,781.88,75394000,260.63
2020-04-27,784.55,840.00,772.01,804.82,47660500,268.26
2020-04-30,801.56,878.00,787.89,836.44,58954100,278.82
2020-05-01,819.64,836.78,801.21,704.37,35404600,234.82
2020-05-08,803.69,829.69,788.67,819.26,47660500,273.08
2020-05-15,800.92,838.75,776.89,793.61,35404600,264.54
2020-05-22,811.33,819.00,803.45,816.88,47660500,272.29
2020-05-29,815.12,848.15,809.27,805.81,58954100,268.64
2020-06-05,834.31,861.01,817.32,949.92,75394000,316.64
2020-06-12,960.00,1027.48,917.33,1009.35,88194000,336.46
2020-06-19,1006.00,1080.00,990.00,1071.20,75394000,357.09
2020-06-26,977.89,1019.89,907.89,957.73,58954100,319.24
2020-06-30,996.27,1079.81,964.68,1079.81,58954100,359.95
2020-07-09,1357.00,1371.30,1308.00,1344.78,88194000,448.59
2020-07-16,1374.74,1794.99,1336.20,1568.36,75394000,522.89
2020-07-23,1578.42,1794.99,1416.18,1516.83,88194000,505.73
2020-07-30,1515.00,1900.00,1462.13,1883.15,117380500,627.92
2020-08-06,1881.38,1972.42,1832.21,1335.49,75394000,445.49
2020-08-13,1372.00,1435.00,1333.51,1407.78,58954100,469.57
2020-08-20,1418.92,1435.00,1374.20,1979.99,75394000,659.85
2020-08-27,1976.95,2090.99,1946.26,2050.12,88194000,683.37
2020-08-31,2097.50,2318.49,2055.03,2213.40,103715700,737.83
2020-09-03,2401.50,2650.71,2359.00,2359.00,168919500,786.11
2020-09-10,2410.00,2485.00,2150.12,2380.00,239240600,793.11
2020-09-17,2310.00,2370.00,2017.00,2100.00,258326200,699.77
2020-09-24,2000.00,2070.00,1900.00,2000.12,150943700,666.44
2020-09-30,2049.98,2133.00,2024.00,2067.18,117380500,688.81
2020-10-08,2080.00,2123.00,2050.00,2070.00,75394000,690.75
2020-10-15,2095.00,2180.00,2050.00,2104.00,88194000,701.09
2020-10-22,2098.77,2144.00,2031.00,2077.66,75394000,692.30
2020-10-29,2102.12,2135.00,1980.00,2003.93,88194000,667.74
2020-11-05,2120.00,2153.00,2050.00,2070.10,75394000,690.78
2020-11-12,2090.00,2133.12,2020.00,2090.12,88194000,696.45
2020-11-19,2098.00,2153.89,2089.12,2141.73,75394000,713.63
2020-11-26,2166.00,2201.75,2156.89,2201.00,58954100,733.38
2020-12-03,2230.00,2271.00,2217.89,2243.21,75394000,747.45
2020-12-10,2259.00,2318.00,2240.00,2265.12,88194000,755.75
2020-12-17,2280.00,2339.89,2269.12,2310.67,75394000,769.95
2020-12-24,2325.00,2357.12,2314.89,2344.12,58954100,781.11
2020-12-31,2408.00,2477.00,2408.00,2408.00,75394000,802.81
2021-01-07,2424.00,2466.00,2408.00,2447.00,88194000,815.81
2021-01-14,2465.00,2523.00,2450.12,2487.12,75394000,829.18
2021-01-21,2498.00,2590.00,2480.89,2566.12,88194000,855.50
2021-01-28,2580.00,2625.12,2500.89,2543.12,117380500,847.83
2021-02-04,2640.00,2695.12,2620.89,2673.21,88194000,891.25
2021-02-11,2710.00,2781.00,2698.12,2754.12,75394000,918.25
2021-02-18,2720.00,2798.89,2680.12,2718.21,88194000,906.29
2021-02-25,2689.00,2742.12,2630.89,2673.61,88194000,891.39
2021-03-04,2655.00,2709.89,2610.12,2643.12,88194000,881.22
2021-03-11,2690.00,2741.89,2668.12,2712.89,75394000,904.52
2021-03-18,2685.00,2729.89,2650.12,2687.64,88194000,896.10
2021-03-25,2720.00,2781.12,2698.89,2743.12,75394000,914.13
2021-04-01,2758.00,2835.89,2740.12,2798.12,75394000,932.47
2021-04-08,2845.00,2898.89,2823.12,2873.28,75394000,957.55
2021-04-15,2890.00,2967.89,2867.12,2934.12,88194000,978.84
2021-04-22,2920.00,2976.89,2889.12,2927.61,75394000,976.67
2021-04-29,2958.00,3025.89,2934.12,2995.64,75394000,999.36
2021-05-06,2940.00,2987.89,2895.12,2943.89,75394000,982.09
2021-05-13,2890.00,2943.89,2834.12,2876.89,75394000,958.75
2021-05-20,2920.00,2987.89,2897.12,2954.12,75394000,985.50
2021-05-27,2989.00,3067.89,2956.12,3032.61,75394000,1011.66
2021-06-03,3089.00,3143.89,3056.12,3117.89,75394000,1040.08
2021-06-10,3156.00,3221.89,3123.12,3187.12,75394000,1063.18
2021-06-17,3201.00,3278.89,3167.12,3243.61,75394000,1081.99
2021-06-24,3232.00,3289.89,3198.12,3256.12,75394000,1086.16
2021-07-01,3278.00,3341.89,3234.12,3312.89,75394000,1105.07
2021-07-08,3345.00,3398.89,3301.12,3368.12,75394000,1123.52
2021-07-15,3401.00,3467.89,3356.12,3434.61,75394000,1145.70
2021-07-22,3423.00,3478.89,3389.12,3443.12,75394000,1148.54
2021-07-29,3467.00,3534.89,3423.12,3498.61,75394000,1167.04
2021-08-05,3534.00,3587.89,3489.12,3554.12,75394000,1185.56
2021-08-12,3587.00,3643.89,3534.12,3612.89,75394000,1205.17
2021-08-19,3598.00,3654.89,3545.12,3623.12,75394000,1208.58
2021-08-26,3656.00,3721.89,3612.12,3687.61,75394000,1230.09
